"cell","x","y","stem"
"tumor",2,8,0
"tumor",2,9,0
"tumor",2,10,0
"tumor",2,11,0
"tumor",2,12,0
"tumor",3,7,0
"tumor",3,8,0
"tumor",3,9,0
"tumor",3,10,0
"tumor",3,11,0
"tumor",3,12,0
"tumor",4,7,0
"tumor",4,8,0
"tumor",4,9,0
"tumor",4,10,0
"tumor",4,11,0
"tumor",4,12,0
"lymphocyte",5,4,0
"tumor",5,7,0
"tumor",5,8,0
"tumor",5,9,0
"tumor",5,10,0
"tumor",5,11,0
"tumor",6,4,0
"tumor",6,5,0
"tumor",6,6,0
"tumor",6,7,0
"tumor",6,8,0
"tumor",6,9,0
"tumor",6,10,0
"tumor",6,11,0
"tumor",6,12,0
"tumor",6,13,0
"tumor",7,4,0
"tumor",7,5,0
"tumor",7,6,0
"tumor",7,7,0
"tumor",7,8,0
"tumor",7,9,0
"tumor",7,10,0
"tumor",7,11,0
"tumor",7,12,0
"tumor",7,13,0
"tumor",8,4,0
"tumor",8,5,0
"tumor",8,6,0
"tumor",8,7,0
"lymphocyte",8,8,0
"tumor",8,9,0
"tumor",8,10,0
"tumor",8,11,0
"tumor",8,12,0
"tumor",8,13,0
"lymphocyte",8,15,0
"tumor",9,4,0
"tumor",9,5,0
"tumor",9,6,0
"tumor",9,7,0
"tumor",9,8,0
"tumor",9,9,0
"tumor",9,10,0
"tumor",9,11,0
"tumor",9,12,0
"tumor",9,13,0
"tumor",10,4,0
"tumor",10,5,0
"tumor",10,6,0
"tumor",10,7,0
"tumor",10,8,0
"tumor",10,9,0
"tumor",10,10,0
"tumor",10,11,0
"tumor",10,12,0
"tumor",10,13,0
"tumor",11,4,0
"tumor",11,5,0
"tumor",11,6,0
"tumor",11,7,0
"tumor",11,8,0
"tumor",11,9,0
"tumor",11,10,0
"lymphocyte",11,11,0
"tumor",11,12,0
"tumor",11,13,0
"tumor",12,4,0
"tumor",12,5,0
"tumor",12,6,0
"tumor",12,7,0
"tumor",12,8,0
"tumor",12,9,0
"tumor",12,10,0
"tumor",12,11,0
"tumor",12,12,0
"tumor",12,13,0
"tumor",13,4,0
"tumor",13,5,0
"tumor",13,6,0
"tumor",13,7,0
"tumor",13,8,0
"tumor",13,9,0
"tumor",13,10,0
"tumor",13,11,0
"tumor",13,12,0
"tumor",13,13,0
"tumor",14,4,0
"tumor",14,5,0
"tumor",14,6,0
"tumor",14,7,0
"tumor",14,8,0
"tumor",14,9,0
"tumor",14,10,0
"tumor",14,11,0
"tumor",14,12,0
"tumor",14,13,0
"tumor",15,4,0
"tumor",15,5,0
"tumor",15,11,0
"tumor",15,12,0
"lymphocyte",16,1,0
"tumor",16,11,0
"tumor",16,12,0
"lymphocyte",17,8,0
